Plot_VisIt	Image_filename_VisIt	State_range_VisIt	Time_VisIt	R_SF_Average_VisIt
Pseudocolor - IsosurfacePseudocolor - Isosurface	visit_000001	1	0.1	10.731532419773075
Pseudocolor - IsosurfacePseudocolor - Isosurface	visit_000050	50	2.550000000001	31.012562881582085
