cell_id,r_c,x_c,z_c,radial_pos,A_true,rel_err_N200,rel_err_N317,rel_err_N502,rel_err_N796,rel_err_N1262,rel_err_N2000
1.000000000000000000e+01,1.004175590818490726e-01,-4.945795209576675511e-01,-7.023074120061600922e-02,4.995410489242138596e-01,3.675514525936548343e-02,-3.092725932805628908e-03,-2.116861764679511815e-03,9.276903432442473729e-05,1.247142208046447820e-03,-3.632853273813907435e-04,3.941961338638222401e-05
1.100000000000000000e+01,1.370498578980276216e-01,-2.846866591256318468e-01,2.432374890645886412e-01,3.744475530305406696e-01,6.407728537668966329e-02,-3.266231675923103595e-03,1.794711872616261417e-03,3.665350596022687313e-04,1.168368743456049685e-04,6.125380748149833465e-04,3.262331726450184988e-05
1.200000000000000000e+01,6.582429193553443469e-02,1.825864989203775934e-01,6.040877621779960904e-01,6.310783263599061277e-01,1.761126907402475739e-02,1.385702562315538344e-02,1.109640182010984688e-04,3.682939875266910690e-04,9.045139391299361620e-04,-6.565648560926673483e-04,6.898317075587634406e-05
1.300000000000000000e+01,1.923415512406648209e-01,-5.650470587180400628e-02,3.644836284497432466e-01,3.688374942892188590e-01,1.267519188830557586e-01,1.502306606162351343e-03,6.656872897865540040e-04,-3.154194888466133051e-05,-2.259388285259511520e-04,5.186244461596878352e-05,6.487095831753109110e-05
1.400000000000000000e+01,1.246134043231428568e-01,4.145365449272553349e-02,4.041620138817647589e-01,4.062823389414879083e-01,5.371611969026372779e-02,4.407242442024283946e-03,2.818687060728963800e-03,1.483098392298654034e-03,1.255029920748107486e-04,1.681402552236033188e-04,-6.644589224136243644e-05
1.500000000000000000e+01,1.121983774033506326e-01,3.316098473773063660e-01,2.986011216515918054e-01,4.462372919525990911e-01,4.443369640358776906e-02,-8.968210589817671163e-03,2.405964779012670363e-03,-7.089653518959071477e-04,-5.003521648988540349e-04,-4.701090269338958905e-04,7.679445644970250839e-05
1.600000000000000000e+01,1.733560741314605913e-01,-2.830134956220742293e-02,-3.784818467044106516e-01,3.795385022258259133e-01,1.032018141476957473e-01,-9.020501827092797242e-04,-7.467708086150715019e-04,-1.375430709797731410e-03,-7.480363975798098863e-06,-3.721957877111936597e-05,4.311809803136945618e-05
1.700000000000000000e+01,5.607660667826519507e-02,3.281063084520940976e-01,1.617481970079182041e-01,3.658090060145772759e-01,1.062661347798336126e-02,-8.207582823416825768e-03,-7.198448113434618989e-04,-2.235878661818846425e-03,2.631296914727743186e-03,-2.396952826854925611e-03,1.052787256476950262e-04
1.800000000000000000e+01,1.343347763342685464e-01,-3.410169627060214426e-01,-3.653257086181223023e-01,4.997553823927994854e-01,6.605796588685811099e-02,3.830534042198241451e-03,1.880749799618053331e-03,-1.487680631511500984e-03,-2.881533869593111419e-04,-8.650608143567772856e-05,1.367577245936502095e-04
1.900000000000000000e+01,9.324961355113664530e-02,1.217964062913038381e-01,7.649552176900675793e-02,1.438260387975311694e-01,2.766821658337629414e-02,6.610437324846785145e-03,1.012332675193183817e-03,5.434585443766515311e-04,4.023651569817765505e-04,6.589008229176407383e-04,1.992776825170405886e-04
2.000000000000000000e+01,1.714566163869166715e-01,8.552591152457234003e-02,-2.992175880618109796e-01,3.112006531928179776e-01,9.811918565854539642e-02,-3.885097290209360565e-04,1.267294337981006436e-03,-1.128171629320995351e-04,-1.656852244911188876e-04,-5.553011607506430636e-05,1.338053109578574151e-05
2.100000000000000000e+01,1.119344514021339276e-01,4.498909916223592376e-01,1.789071548818575996e-01,4.841587285290545051e-01,4.525931518102896400e-02,-3.818331498447902206e-03,1.876055333243975554e-03,5.686307222518838245e-04,3.146929508046625301e-05,-4.818786105598160674e-05,3.868624283909216643e-04
2.200000000000000000e+01,1.938616464046163390e-01,-1.846900530202462143e-01,7.440391171613913723e-02,1.991139316152548688e-01,1.217614343576287894e-01,8.824685472888393889e-03,-1.805209937420282351e-03,2.195289397370903117e-04,3.112538360938721382e-04,1.043776444709099138e-04,-8.884101532857791028e-05
2.300000000000000000e+01,1.734059420272253127e-01,-1.196650419428690881e-01,4.664132689049893532e-01,4.815195319754189685e-01,1.093810209757894586e-01,-3.712295600467596657e-03,3.237309921622077979e-04,-1.593932271384268518e-03,-3.677035141368412141e-04,6.715271266166666919e-05,1.148347240162994609e-04
2.400000000000000000e+01,5.149318412109379905e-02,-1.908535539926127234e-01,-5.959071162169990998e-01,6.257238769854249760e-01,1.070200102431800859e-02,-4.102783394000164563e-03,8.689024111923293603e-03,-5.643427974183934381e-03,-2.470286576791380639e-03,-2.146243676058867678e-04,-2.463918331097048053e-04
2.500000000000000000e+01,1.478921864504957884e-01,-3.198256719034067719e-01,2.865933067700605630e-01,4.294463690542320022e-01,7.678642051081344122e-02,-3.479597077058471655e-04,-1.218008533859116227e-03,-7.787283340698891720e-04,1.528272295530097580e-04,-3.922787028610708049e-04,-7.441941458541379006e-05
2.600000000000000000e+01,5.891962274005077549e-02,-1.686159641815904164e-01,-9.931447511164015474e-02,1.956903378902187240e-01,1.113178409783284646e-02,3.636586092038496254e-02,3.716410084775523259e-03,1.371005033266259332e-03,-3.478384257767919152e-04,-8.385750750306009138e-05,8.249537853122212994e-05
2.700000000000000000e+01,9.632860440788915124e-02,-3.254999395041561772e-01,5.135295175362206699e-01,6.079989934187333134e-01,3.697715143898236412e-02,2.443861622589471594e-03,-3.024301361236547692e-03,-1.834763300512687323e-03,9.920488780406078178e-04,2.369584846473316020e-05,7.488492061427098889e-04
2.800000000000000000e+01,1.821960759106535099e-01,1.514128534544589844e-02,-2.201990889924688166e-01,2.207190461084530264e-01,1.079491192650556958e-01,5.978082276485219282e-03,1.197573011603170201e-03,4.795312577539068144e-04,-5.060630016082701133e-04,-1.957318277698849585e-04,-2.004597495253168660e-05
2.900000000000000000e+01,1.992376022241377220e-01,-2.602951343833066478e-01,-4.487124568951507686e-01,5.187450490910792134e-01,1.491457289696099531e-01,1.923325527345420838e-03,2.254084447614879139e-04,-1.997962722094515087e-04,5.154164482621403920e-04,-1.983495169655125068e-05,9.735055819226623441e-05
3.000000000000000000e+01,1.820147181956104920e-01,4.417089560181353125e-01,2.374314743377620163e-01,5.014783213986765409e-01,1.224010829130394440e-01,-9.890576417297403111e-04,1.964518012412375114e-03,1.915318872152127483e-04,2.946711638982524306e-04,-2.115787244549860446e-05,4.663425527295927964e-06
3.100000000000000000e+01,1.505092773972404041e-01,3.035164452738186025e-01,-4.708582636685114120e-01,5.602050847828680125e-01,8.716119165439659144e-02,-2.806360091237691812e-03,1.694599434951538086e-04,1.508907104373680141e-03,-5.292930546074714471e-06,-3.761903872490091061e-04,1.414877810423931237e-05
3.200000000000000000e+01,1.093335909657314059e-01,5.801892686245104791e-01,8.683379820964309825e-02,5.866512558058299964e-01,4.675951112181894048e-02,6.556040985139732769e-03,3.853765955544874444e-03,-8.528039926207764410e-04,-9.107643147439059561e-04,5.630517336032703213e-04,-2.005630366725963398e-04
3.300000000000000000e+01,1.367503872389409236e-01,-4.325658235039783750e-01,3.680101691884363202e-02,4.341284447141605662e-01,6.573325776109749385e-02,-2.447635993003904886e-03,3.485945568661552585e-03,1.286719628848631558e-03,4.083622698578537324e-04,-5.192729638000548320e-04,-1.784707673513352688e-05
