cell_id,r_c,x_c,z_c,radial_pos,A_true,rel_err_N200,rel_err_N317,rel_err_N502,rel_err_N796,rel_err_N1262,rel_err_N2000
6.100000000000000000e+01,7.977695667638830257e-02,4.985743849456459320e-01,1.560107333141347308e-01,5.224134054875919642e-01,2.352935703580463084e-02,-4.170077897869051142e-03,1.560656270992000216e-03,1.033337321709737466e-03,1.573041619483017683e-03,1.141792158394716594e-03,3.737328620165847326e-04
6.200000000000000000e+01,6.361295684286828733e-02,2.671202203887783067e-01,7.919321368744246525e-01,8.357689402909406207e-01,2.352093190642997808e-02,6.634324228449894889e-03,1.161286464642263816e-02,4.395880908527827202e-03,-7.348974004141028971e-04,3.335505166097707530e-04,-3.207720445529416153e-04
6.300000000000000000e+01,1.370498578980276216e-01,-2.684073545784457782e-01,-3.094442442782622260e-01,4.096318448421025216e-01,6.516799932894865033e-02,8.210938901628717090e-03,3.223035865272061429e-03,1.507696516895418171e-03,-9.161069771534968709e-05,-2.044271251344653706e-05,-1.556767462108643585e-04
6.400000000000000000e+01,9.480441992283838992e-02,1.316672053660060682e-01,-5.287071845815863869e-01,5.448555221314010932e-01,3.385201179762487717e-02,1.893651215904679219e-03,-8.033962539424344129e-04,1.213730870795570738e-03,8.435936213047057208e-05,3.455439083155376068e-05,-2.268403913537886396e-04
6.500000000000000000e+01,1.507992316934539390e-01,-4.299341614617032126e-01,-3.408752856030503597e-01,5.486705236539858310e-01,8.664352599789891529e-02,7.827234878039934785e-03,-5.081720989089655305e-03,-9.407786174029375559e-04,4.087229369242884047e-04,-3.823660874426870748e-04,2.145264651378653298e-04
6.600000000000000000e+01,7.992731659523200083e-02,2.429208202196431743e-01,6.319108282876653160e-01,6.769946970275227960e-01,2.745556500252202548e-02,6.272660458243706216e-03,9.185272533224431157e-03,-3.299649960337491805e-03,-1.308341639816634761e-03,2.457146469903026542e-04,4.920279540632233051e-04
6.700000000000000000e+01,1.913169665759746896e-01,2.005567106503311769e-01,1.828189471286678081e-01,2.713775259967473596e-01,1.208279061198634929e-01,-8.599661285063620042e-04,1.478476251730809210e-03,-7.422764315501151344e-05,-2.541279348744485134e-05,-1.576119155666244609e-04,-4.498898261140471533e-05
6.800000000000000000e+01,1.047665252367242922e-01,-5.706893765509684080e-01,-2.142641444625198108e-02,5.710914600518515183e-01,4.230767725446883676e-02,-7.892953596537632954e-03,2.103755260471462663e-03,2.035734039201431145e-03,5.921774450514671884e-04,2.372134168739936655e-04,-2.447431529621901802e-04
6.900000000000000000e+01,6.582429193553443469e-02,6.481041761122264058e-03,-1.484599673975417131e-02,1.619899754633607677e-02,1.362858483408850747e-02,1.381617337157625691e-02,5.956741762038975097e-03,5.003486488408537269e-04,8.384917829640237130e-04,4.123029934977040512e-04,-2.946234007012993317e-04
7.000000000000000000e+01,1.443662227309563950e-01,1.516668310271574727e-01,7.224715366371302627e-01,7.382194449380459211e-01,1.005751036839924034e-01,-7.690566240085017213e-04,-3.557632196561910654e-03,-5.698863692918942903e-04,1.138324732763429381e-03,-6.769746887125283052e-05,7.707320729100075596e-05
7.100000000000000000e+01,1.890731829601801639e-01,6.666011073661434194e-01,3.403505914026402901e-01,7.484621309123766775e-01,1.823069330866284588e-01,4.745977482448981988e-03,-1.477786658804269848e-03,5.470450525795200747e-04,3.218342923421158019e-04,2.030798862058258436e-04,5.143342987223853413e-05
7.200000000000000000e+01,1.160565732073676054e-01,-3.126760046893020117e-01,-1.038692188737285610e-01,3.294770076012936699e-01,4.501931430664936340e-02,2.215079632721161929e-03,-8.499571330828570304e-03,-3.100323181320918664e-04,1.068253552231945847e-03,5.460002508010930455e-04,-5.316164097868281146e-05
7.300000000000000000e+01,1.931885740536106177e-01,2.419636956655418780e-01,6.321227493603913672e-01,6.768497619701635548e-01,1.664764104216834850e-01,-9.483601838464750244e-04,-1.873234272601997930e-03,-3.345348513772439247e-04,-5.093470108189501744e-04,6.159550145001801980e-05,6.928328839306274745e-05
7.400000000000000000e+01,1.249843720531470664e-01,7.228016918762462106e-01,3.259405202571742377e-01,7.928931255375351039e-01,8.402061312308468921e-02,3.512013743320219206e-03,3.141736977637199502e-03,6.332158244133356817e-04,-5.736682665552494953e-04,3.290013987700124432e-04,1.426543793514589709e-04
7.500000000000000000e+01,1.137842937273613464e-01,1.279042331822224099e-01,-8.687618457818298001e-01,8.781267776079852982e-01,9.714938294508931871e-02,-8.056917611902414400e-03,-7.853021593358100461e-04,2.015780531154476307e-03,-7.312281300786427352e-05,2.174525664810911252e-04,9.723809326178667334e-05
7.600000000000000000e+01,1.430320178023066768e-01,3.406505092164043846e-01,-7.096703884235839865e-01,7.871942769321155220e-01,1.100804948325279364e-01,3.013299194841279061e-03,3.128482137265686802e-03,3.736043241908681978e-04,-9.289627970411329372e-04,-1.900352846512243232e-04,-2.868595439931009849e-05
